period_id,start_date,end_date,days_in_period,price_move,max_anomaly_score,average_anomaly_score,dominant_features,pattern_labels,feature_story
1,2020-02-27,2020-03-02,2,0.021647479923849966,0.6383413093546646,0.6303938585698763,"absolute_return, input_peer_msft_return, moving_average_gap_10d, rolling_5d_return, input_market_return",violent one-day price movement,absolute_return was positive / rising and above its normal range; input_peer_msft_return was near normal but still important relative to the other features; moving_average_gap_10d was negative / falling and below its normal range; rolling_5d_return was negative / falling and below its normal range; input_market_return was near normal but still important relative to the other features.
2,2020-03-09,2020-04-06,20,-0.0900366658310906,0.7571077474860424,0.66620533935164,"rolling_10d_volatility, rolling_30d_volatility, absolute_return, input_peer_msft_return, input_market_return","stock selloff / plummeting price, volatility burst, stock fell while market was positive",rolling_10d_volatility was elevated and above its normal range; rolling_30d_volatility was elevated and above its normal range; absolute_return was positive / rising and above its normal range; input_peer_msft_return was near normal but still important relative to the other features; input_market_return was near normal but still important relative to the other features.
3,2020-04-14,2020-04-21,4,0.01675489373841499,0.65185974740114,0.5962616810917627,"rolling_30d_volatility, moving_average_gap_10d, rolling_5d_return, rolling_20d_return, input_peer_msft_return",volatility burst,rolling_30d_volatility was elevated and above its normal range; moving_average_gap_10d was positive / rising and above its normal range; rolling_5d_return was positive / rising and above its normal range; rolling_20d_return was positive / rising and above its normal range; input_peer_msft_return was near normal but still important relative to the other features.
4,2020-07-31,2020-08-06,4,0.17986417791611387,0.6599657536475668,0.603854388764565,"rolling_5d_return, moving_average_gap_10d, absolute_return, moving_average_gap_30d, rolling_10d_volatility","stock spike or rebound, volatility burst",rolling_5d_return was positive / rising and above its normal range; moving_average_gap_10d was positive / rising and above its normal range; absolute_return was positive / rising and above its normal range; moving_average_gap_30d was positive / rising and above its normal range; rolling_10d_volatility was elevated and above its normal range.
5,2020-08-21,2020-08-21,1,0.051532284338313916,0.5864277797803602,0.5864277797803602,"rolling_20d_return, moving_average_gap_30d, absolute_return, moving_average_gap_10d, rolling_5d_return",violent one-day price movement,rolling_20d_return was positive / rising and above its normal range; moving_average_gap_30d was positive / rising and above its normal range; absolute_return was positive / rising and above its normal range; moving_average_gap_10d was positive / rising and above its normal range; rolling_5d_return was positive / rising and above its normal range.
6,2020-09-03,2020-09-09,3,-0.10774409588567668,0.6214720980068984,0.6147126769868646,"absolute_return, input_peer_msft_return, rolling_5d_return, input_market_return, moving_average_gap_10d","stock selloff / plummeting price, market or peer selloff pressure",absolute_return was positive / rising and above its normal range; input_peer_msft_return was negative / falling and below its normal range; rolling_5d_return was negative / falling and below its normal range; input_market_return was negative / falling and below its normal range; moving_average_gap_10d was negative / falling and below its normal range.
7,2020-10-12,2020-10-12,1,0.06352068076013784,0.5695845528124417,0.5695845528124417,"absolute_return, volume_change, moving_average_gap_10d, rolling_30d_volatility, volume_vs_20d_average","violent one-day price movement, volatility burst, volume shock",absolute_return was positive / rising and above its normal range; volume_change was positive / rising and above its normal range; moving_average_gap_10d was positive / rising and above its normal range; rolling_30d_volatility was elevated and above its normal range; volume_vs_20d_average was unusually high and above its normal range.
8,2022-05-11,2022-05-11,1,-0.05184121685604148,0.5811806757675484,0.5811806757675484,"rolling_5d_return, absolute_return, moving_average_gap_10d, moving_average_gap_30d, rolling_10d_volatility","violent one-day price movement, volatility burst",rolling_5d_return was negative / falling and below its normal range; absolute_return was positive / rising and above its normal range; moving_average_gap_10d was negative / falling and below its normal range; moving_average_gap_30d was negative / falling and below its normal range; rolling_10d_volatility was elevated and above its normal range.
9,2022-05-18,2022-05-18,1,-0.05641918786798794,0.5887166495552891,0.5887166495552891,"absolute_return, input_market_return, input_peer_msft_return, moving_average_gap_30d, rolling_20d_return","violent one-day price movement, market or peer selloff pressure",absolute_return was positive / rising and above its normal range; input_market_return was negative / falling and below its normal range; input_peer_msft_return was negative / falling and below its normal range; moving_average_gap_30d was negative / falling and below its normal range; rolling_20d_return was negative / falling and below its normal range.
10,2022-06-13,2022-06-13,1,-0.03828504952896661,0.5708718507176759,0.5708718507176759,"moving_average_gap_10d, input_market_return, rolling_5d_return, input_peer_nvda_return, input_peer_msft_return",market or peer selloff pressure,moving_average_gap_10d was negative / falling and below its normal range; input_market_return was negative / falling and below its normal range; rolling_5d_return was negative / falling and below its normal range; input_peer_nvda_return was negative / falling and below its normal range; input_peer_msft_return was negative / falling and below its normal range.
11,2022-11-10,2022-11-10,1,0.08897452979003218,0.675082713350776,0.675082713350776,"input_market_return, absolute_return, input_peer_msft_return, input_peer_nvda_return, volume_vs_20d_average","stock spike or rebound, volume shock, market or peer rally pressure",input_market_return was positive / rising and above its normal range; absolute_return was positive / rising and above its normal range; input_peer_msft_return was positive / rising and above its normal range; input_peer_nvda_return was positive / rising and above its normal range; volume_vs_20d_average was unusually high and above its normal range.
12,2025-04-03,2025-04-16,8,-0.16457936751490776,0.7454841574064178,0.6326548804278219,"rolling_10d_volatility, absolute_return, moving_average_gap_10d, rolling_5d_return, moving_average_gap_30d","stock selloff / plummeting price, volatility burst",rolling_10d_volatility was elevated and above its normal range; absolute_return was positive / rising and above its normal range; moving_average_gap_10d was negative / falling and below its normal range; rolling_5d_return was negative / falling and below its normal range; moving_average_gap_30d was negative / falling and below its normal range.
13,2026-06-25,2026-06-25,1,-0.06117781321571136,0.5879184375781628,0.5879184375781628,"volume_change, absolute_return, volume_vs_20d_average, moving_average_gap_10d, input_peer_msft_return","violent one-day price movement, volume shock, market or peer selloff pressure",volume_change was positive / rising and above its normal range; absolute_return was positive / rising and above its normal range; volume_vs_20d_average was unusually high and above its normal range; moving_average_gap_10d was negative / falling and below its normal range; input_peer_msft_return was negative / falling and below its normal range.
